"filename", "language", "JavaScript JSX", "Less", "comment", "blank", "total"
"c:\Projetos\PokeVerse\poke-verse\src\pages\Battle\index.jsx", "JavaScript JSX", 58, 0, 0, 3, 61
"c:\Projetos\PokeVerse\poke-verse\src\pages\Battle\styles.less", "Less", 0, 112, 0, 0, 112
"c:\Projetos\PokeVerse\poke-verse\src\pages\Home\index.jsx", "JavaScript JSX", 256, 0, 5, 8, 269
"c:\Projetos\PokeVerse\poke-verse\src\pages\Home\styles.less", "Less", 0, 242, 5, 6, 253
"c:\Projetos\PokeVerse\poke-verse\src\pages\Inicial\index.jsx", "JavaScript JSX", 19, 0, 0, 1, 20
"c:\Projetos\PokeVerse\poke-verse\src\pages\Inicial\styles.less", "Less", 0, 27, 0, 0, 27
"c:\Projetos\PokeVerse\poke-verse\src\pages\Login\index.jsx", "JavaScript JSX", 19, 0, 0, 0, 19
"c:\Projetos\PokeVerse\poke-verse\src\pages\Login\styles.less", "Less", 0, 21, 0, 1, 22
"c:\Projetos\PokeVerse\poke-verse\src\pages\Lol\index.jsx", "JavaScript JSX", 9, 0, 0, 0, 9
"c:\Projetos\PokeVerse\poke-verse\src\pages\Lol\styles.less", "Less", 0, 10, 0, 0, 10
"c:\Projetos\PokeVerse\poke-verse\src\pages\Mapa\index.jsx", "JavaScript JSX", 12, 0, 0, 1, 13
"c:\Projetos\PokeVerse\poke-verse\src\pages\Mapa\styles.less", "Less", 0, 16, 2, 0, 18
"c:\Projetos\PokeVerse\poke-verse\src\pages\Primaria\index.jsx", "JavaScript JSX", 28, 0, 0, 3, 31
"c:\Projetos\PokeVerse\poke-verse\src\pages\Primaria\styles.less", "Less", 0, 32, 0, 0, 32
"Total", "-", 401, 460, 12, 23, 896
